Model,MPG,Weight
2003 Lexus LX 470 Sport Utility Current,13,5.59
2004 Lexus RX 330 Front Wheel Drive Current,20,3.86
2004 Lincoln Town Car Signature Current,17,4.345
2004 Lincoln Aviator 4x2 Luxury Current,13,4.834
2004 Lincoln LS V6 Automatic Luxury Current,20,3.674
2004 Lincoln Navigator 4x2 Luxury Current,12,5.822
2003 Lotus Esprit V8 Coupe Current,15,3.043
2003 Mazda Protegé DX Current,25,2.6605
2003 Mazda Protegé5 Sport Current,25,2.7325
2003 Mazda Mazda6 i Current,25,3.0665
2003 Mazda MAZDASPEED Protegé Sport Compact Sedan Current,24,2.843
2003 Mazda MX-5 Miata Base Current,23,2.408
2003 Mazda Tribute DX I4 Current,23,3.091
2003 Mazda MPV LX-SV Current,18,3.794
2004 Mazda RX-8 AT Current,18,3.053
2004 Mazda Tribute DX I4 Current,23,3.091
2003 Mazda Truck Regular Cab 4x2 B2300 Base Current,24,3.001
2003 Mercedes-Benz C-Class C230 Kompressor Sports Coupe Current,21,3.265
2003 Mercedes-Benz E-Class E320 Wagon Current,20,3.856
2003 Mercedes-Benz S-Class S430 Sedan Current,17,4.166
2003 Mercedes-Benz SL-Class SL500 Roadster Current,15,4.045
2003 Mercedes-Benz CL-Class CL500 Coupe Current,16,4.07
2003 Mercedes-Benz M-Class ML320 [Discontinued] Current,15,4.786
2003 Mercedes-Benz G-Class G500 Current,13,5.423
2004 Mercedes-Benz SLK-Class SLK230 Roadster Current,19,3.0825
2004 Mercedes-Benz CLK-Class CLK320 Coupe Current,19,3.515
2004 Mercury Grand Marquis GS Current,17,4.052
2004 Mercury Marauder Sedan Current,17,4.195
2004 Mercury Sable GS Sedan Current,20,3.336
2004 Mercury Mountaineer 4X2 Convenience 4.0L Current,15,4.374
2003 MINI Cooper Base Current,28,2.5405
2003 Mitsubishi Lancer ES Current,27,2.668
2003 Mitsubishi Galant DE Current,21,3.031
2003 Mitsubishi Eclipse RS Current,23,2.943
2003 Mitsubishi Diamante ES Current,17,3.439
2003 Mitsubishi Lancer Evolution Sedan Current,18,3.263
2003 Mitsubishi Outlander LS 2WD Current,21,3.24
2003 Mitsubishi Montero Sport ES 2WD Current,18,3.835
2004 Mitsubishi Endeavor LS FWD Current,17,3.847
2003 Nissan Altima 2.5 Current,23,3.025
2004 Nissan Sentra 1.8 Current,28,2.55
2004 Nissan Maxima SE Current,20,3.4545
2004 Nissan 350Z Coupe Coupe Current,20,3.188
2003 Nissan Xterra XE I4 4X2 Current,19,3.589
